item_id,user_id,Norm_Rating,user_id_encoded
220200,MarbleShrine,1.0,2390
331470,KanadeTheNeko,1.0,2301
323370,Leaf_Light_Moscow,1.0,2351
730,76561198061252210,1.0,814
113200,OfficialShroomsy,1.0,2478
304930,76561198078738103,1.0,1273
1840,76561198079770573,0.5,1305
417860,sandwiches1,0.25,3718
218620,lucaswerg,1.0,3455
440,76561198075895633,1.0,1213
332800,76561198030567998,0.5,301
440,YoHuNz,0.5,2802
346330,Xx-Woods,0.25,2797
322170,76561198027947401,1.0,284
570,L1J1N,1.0,2336
273350,Myther43,1.0,2438
730,76561198141443390,1.0,1822
287700,2768820078,0.5,42
274980,TeCool,1.0,2673
400,76561198092540221,1.0,1594
304930,WitchHunter4542,1.0,2783
230410,pwrt,1.0,3656
570,benedictcuminherbatch,1.0,2919
301520,76561198016602703,0.0,225
440,thisissohardtomakeoneup,0.5,3880
304050,Mastic,0.0,2396
304930,76561198104393251,1.0,1744
570,76561198103253374,0.0,1734
303390,adohya343,0.75,2843
221100,76561198145436942,1.0,1829
227940,L4M1NAS,1.0,2338
264710,76561197995322437,1.0,139
219990,chidori_647,1.0,2999
35450,tbimperator,1.0,3834
302830,76561198054465623,0.25,649
337320,76561198167207237,0.0,1843
252490,76561198074323290,0.75,1169
248610,76561198015968275,0.0,222
250340,76561198082614708,1.0,1379
317360,NaruseAiria,0.5,2443
227860,AlexNoClutch,0.75,1886
228280,AlkalineDeath,1.0,1889
35450,mintifreshbadger,0.0,3515
381210,76561198071952798,0.0,1085
440,76561198069170979,1.0,1023
221640,ApexNZ,1.0,1905
113020,76561198039441595,0.25,376
377160,76561198036687918,0.5,346
212500,AppoGetsSuperAdmin,0.5,1906
270210,76561198040530605,1.0,391
8980,76561197974500703,1.0,104
570,bilyitu,0.5,2925
246420,asianturtlefrenzy,1.0,2885
80,LaLocaDeLosDulces,0.5,2344
56400,76561198064352761,1.0,883
257850,assassin_warman,0.0,2888
218620,Swish0009,0.0,2654
55230,hoarbiscuit,1.0,3267
730,TeH-B-Rad,0.5,2674
4000,BBBirb,0.5,1925
391460,76561198074409406,0.75,1172
200210,76561198076548816,0.0,1228
440,BarretaJrs,0.5,1930
630,brendoboy,1.0,2956
346560,Infixation,1.0,2244
730,76561198067021476,1.0,951
252490,76561198190487725,1.0,1849
381210,76561198035363871,0.75,336
333930,Hummingsenpai,0.0,2219
300570,bitmat,1.0,2928
570,76561198088724903,1.0,1531
33930,13lazer,0.5,20
333930,76561198062288797,1.0,844
318430,76561198211433640,1.0,1856
440,Mantrouminati,0.0,2389
96100,76561198007539695,1.0,177
211420,saint556,0.0,3712
6830,spike_heart,1.0,3792
316010,Br0wni3,0.5,1956
268750,76561198059167106,1.0,756
221100,busternut,1.0,2971
211820,C14M8S,0.5,1972
255710,76561198069050565,1.0,1017
22380,76561198081987102,1.0,1360
49600,76561198077034833,1.0,1236
4000,aquelecaraqfazaquilo,1.0,2874
417860,76561198067657905,0.0,976
440,76561198067721589,1.0,979
252490,carouserwhite,1.0,2979
105450,76561198072411281,0.5,1103
239350,chalkmetal,1.0,2988
249650,ElementalGodChaos,1.0,2100
301520,76561198051215704,0.0,596
329650,Los_Shmurdos,0.5,2372
